"Anno","Mese","Cantone","Pernottamenti"
"2006","Marzo","Schaffhausen",6883
"2006","Marzo","Appenzell Ausserrhoden",9463
"2006","Marzo","Appenzell Innerrhoden",5612
"2006","Marzo","St. Gallen",86553
"2006","Marzo","Graubünden / Grigioni / Grischun",765878
"2006","Marzo","Aargau",55565
"2006","Marzo","Thurgau",24406
"2006","Marzo","Ticino",122747
"2006","Marzo","Vaud",197898
"2006","Marzo","Valais / Wallis",526125
"2006","Marzo","Neuchâtel",13501
"2006","Marzo","Genève",239806
"2006","Marzo","Jura",4371
"2006","Aprile","Schweiz",2452012
"2006","Aprile","Zürich",288101
"2006","Aprile","Bern / Berne",283411
"2006","Aprile","Luzern",117811
"2006","Aprile","Uri",13014
"2006","Aprile","Schwyz",43590
"2006","Aprile","Obwalden",44865
"2006","Aprile","Nidwalden",17472
"2006","Aprile","Glarus",8212
"2006","Aprile","Zug",18722
"2006","Aprile","Fribourg / Freiburg",25481
"2006","Aprile","Solothurn",23352
"2006","Aprile","Basel-Stadt",73010
"2006","Aprile","Basel-Landschaft",18414
"2006","Aprile","Schaffhausen",8287
"2006","Aprile","Appenzell Ausserrhoden",10690
"2006","Aprile","Appenzell Innerrhoden",8015
"2006","Aprile","St. Gallen",70426
"2006","Aprile","Graubünden / Grigioni / Grischun",291041
"2006","Aprile","Aargau",53102
"2006","Aprile","Thurgau",29173
"2006","Aprile","Ticino",279593
"2006","Aprile","Vaud",176228
"2006","Aprile","Valais / Wallis",329288
"2006","Aprile","Neuchâtel",15453
"2006","Aprile","Genève",199780
"2006","Aprile","Jura",5481
"2006","Maggio","Schweiz",2384279
"2006","Maggio","Zürich",341043
"2006","Maggio","Bern / Berne",330672
"2006","Maggio","Luzern",149663
"2006","Maggio","Uri",15024
"2006","Maggio","Schwyz",48458
"2006","Maggio","Obwalden",56255
"2006","Maggio","Nidwalden",24199
"2006","Maggio","Glarus",7119
"2006","Maggio","Zug",22893
"2006","Maggio","Fribourg / Freiburg",33793
"2006","Maggio","Solothurn",29134
"2006","Maggio","Basel-Stadt",76284
"2006","Maggio","Basel-Landschaft",17903
"2006","Maggio","Schaffhausen",11666
"2006","Maggio","Appenzell Ausserrhoden",13176
"2006","Maggio","Appenzell Innerrhoden",11686
"2006","Maggio","St. Gallen",83705
"2006","Maggio","Graubünden / Grigioni / Grischun",121990
"2006","Maggio","Aargau",58571
"2006","Maggio","Thurgau",39193
"2006","Maggio","Ticino",294939
"2006","Maggio","Vaud",203417
"2006","Maggio","Valais / Wallis",128653
"2006","Maggio","Neuchâtel",17656
"2006","Maggio","Genève",239505
"2006","Maggio","Jura",7682
"2006","Giugno","Schweiz",3076050
"2006","Giugno","Zürich",360168
"2006","Giugno","Bern / Berne",488080
"2006","Giugno","Luzern",174980
"2006","Giugno","Uri",24356
"2006","Giugno","Schwyz",56478
"2006","Giugno","Obwalden",62660
"2006","Giugno","Nidwalden",28932
"2006","Giugno","Glarus",11153
"2006","Giugno","Zug",22786
"2006","Giugno","Fribourg / Freiburg",38704
"2006","Giugno","Solothurn",32337
"2006","Giugno","Basel-Stadt",88656
"2006","Giugno","Basel-Landschaft",20472
"2006","Giugno","Schaffhausen",12467
"2006","Giugno","Appenzell Ausserrhoden",15631
"2006","Giugno","Appenzell Innerrhoden",15710
"2006","Giugno","St. Gallen",90951
"2006","Giugno","Graubünden / Grigioni / Grischun",351254
"2006","Giugno","Aargau",57901
"2006","Giugno","Thurgau",40579
"2006","Giugno","Ticino",306971
"2006","Giugno","Vaud",232330
"2006","Giugno","Valais / Wallis",267071
"2006","Giugno","Neuchâtel",22206
"2006","Giugno","Genève",244542
"2006","Giugno","Jura",8675
"2006","Luglio","Schweiz",3959870
"2006","Luglio","Zürich",362162
"2006","Luglio","Bern / Berne",627816
"2006","Luglio","Luzern",199663
"2006","Luglio","Uri",37517
"2006","Luglio","Schwyz",67111
"2006","Luglio","Obwalden",79116
"2006","Luglio","Nidwalden",34749
"2006","Luglio","Glarus",16475
"2006","Luglio","Zug",22440
"2006","Luglio","Fribourg / Freiburg",46170
"2006","Luglio","Solothurn",32813
"2006","Luglio","Basel-Stadt",66153
"2006","Luglio","Basel-Landschaft",18290
"2006","Luglio","Schaffhausen",12437
"2006","Luglio","Appenzell Ausserrhoden",15331
"2006","Luglio","Appenzell Innerrhoden",24515
"2006","Luglio","St. Gallen",94117
"2006","Luglio","Graubünden / Grigioni / Grischun",652850
"2006","Luglio","Aargau",52630
"2006","Luglio","Thurgau",42785
"2006","Luglio","Ticino",386483
"2006","Luglio","Vaud",276952
"2006","Luglio","Valais / Wallis",505216
"2006","Luglio","Neuchâtel",21528
"2006","Luglio","Genève",254327
"2006","Luglio","Jura",10224
"2006","Agosto","Schweiz",3970611
"2006","Agosto","Zürich",389666
"2006","Agosto","Bern / Berne",611644
"2006","Agosto","Luzern",199148
"2006","Agosto","Uri",31862
"2006","Agosto","Schwyz",63589
"2006","Agosto","Obwalden",77536
"2006","Agosto","Nidwalden",34466
"2006","Agosto","Glarus",15873
"2006","Agosto","Zug",24939
